Method,Noise Rate,Seed,Accuracy
coteaching,0.0,96,83.82
baseline,0.0,96,85.48
coteaching,0.05,96,84.09
baseline,0.05,96,83.94
coteaching,0.1,96,83.87
baseline,0.1,96,82.99
coteaching,0.15,96,83.56
baseline,0.15,96,82.67
coteaching,0.2,96,82.33
baseline,0.2,96,80.66
coteaching,0.25,96,81.16
baseline,0.25,96,80.44
coteaching,0.3,96,79.62
baseline,0.3,96,79.31
coteaching,0.35,96,77.89
baseline,0.35,96,77.89
coteaching,0.4,96,77.22
baseline,0.4,96,76.1
coteaching,0.45,96,75.14
baseline,0.45,96,73.59
coteaching,0.5,96,73.76
baseline,0.5,96,73.6
coteaching,0.55,96,71.16
baseline,0.55,96,71.2
coteaching,0.6,96,69.2
baseline,0.6,96,67.95
coteaching,0.65,96,65.16
baseline,0.65,96,66.02
coteaching,0.7,96,58.78
baseline,0.7,96,59.51
