Method,Noise Rate,Seed,Accuracy
coteaching,0.0,653,83.7
baseline,0.0,653,85.4
coteaching,0.05,653,83.97
baseline,0.05,653,84.16
coteaching,0.1,653,83.87
baseline,0.1,653,83.67
coteaching,0.15,653,83.07
baseline,0.15,653,82.46
coteaching,0.2,653,82.07
baseline,0.2,653,81.32
coteaching,0.25,653,80.93
baseline,0.25,653,80.66
coteaching,0.3,653,78.94
baseline,0.3,653,79.16
coteaching,0.35,653,78.13
baseline,0.35,653,78.1
coteaching,0.4,653,76.94
baseline,0.4,653,76.48
coteaching,0.45,653,75.37
baseline,0.45,653,76.19
coteaching,0.5,653,73.46
baseline,0.5,653,72.72
coteaching,0.55,653,71.66
baseline,0.55,653,70.38
coteaching,0.6,653,68.7
baseline,0.6,653,67.56
coteaching,0.65,653,64.87
baseline,0.65,653,64.4
coteaching,0.7,653,56.69
baseline,0.7,653,59.68
