Method,Noise Rate,Seed,Accuracy
coteaching,0.0,122,83.26
baseline,0.0,122,85.63
coteaching,0.05,122,83.71
baseline,0.05,122,84.18
coteaching,0.1,122,84.07
baseline,0.1,122,83.11
coteaching,0.15,122,83.16
baseline,0.15,122,82.02
coteaching,0.2,122,82.09
baseline,0.2,122,80.96
coteaching,0.25,122,80.61
baseline,0.25,122,80.74
coteaching,0.3,122,79.58
baseline,0.3,122,79.13
coteaching,0.35,122,78.2
baseline,0.35,122,77.63
coteaching,0.4,122,77.19
baseline,0.4,122,77.29
coteaching,0.45,122,75.48
baseline,0.45,122,76.03
coteaching,0.5,122,73.16
baseline,0.5,122,72.49
coteaching,0.55,122,71.65
baseline,0.55,122,70.51
coteaching,0.6,122,69.34
baseline,0.6,122,68.13
coteaching,0.65,122,65.26
baseline,0.65,122,64.82
coteaching,0.7,122,58.0
baseline,0.7,122,60.75
