Method,Noise Rate,Seed,Accuracy
coteaching,0.0,255,83.73
baseline,0.0,255,84.97
coteaching,0.05,255,84.03
baseline,0.05,255,83.7
coteaching,0.1,255,83.75
baseline,0.1,255,82.78
coteaching,0.15,255,83.4
baseline,0.15,255,81.84
coteaching,0.2,255,81.95
baseline,0.2,255,81.19
coteaching,0.25,255,80.94
baseline,0.25,255,80.62
coteaching,0.3,255,78.88
baseline,0.3,255,79.16
coteaching,0.35,255,78.23
baseline,0.35,255,78.37
coteaching,0.4,255,76.38
baseline,0.4,255,76.28
coteaching,0.45,255,75.47
baseline,0.45,255,75.09
coteaching,0.5,255,73.5
baseline,0.5,255,73.73
coteaching,0.55,255,71.44
baseline,0.55,255,71.07
coteaching,0.6,255,68.45
baseline,0.6,255,69.26
coteaching,0.65,255,65.21
baseline,0.65,255,66.27
coteaching,0.7,255,58.77
baseline,0.7,255,60.52
