Method,Noise Rate,Seed,Accuracy
coteaching,0.0,415,84.19
baseline,0.0,415,85.01
coteaching,0.05,415,84.13
baseline,0.05,415,83.95
coteaching,0.1,415,84.19
baseline,0.1,415,83.39
coteaching,0.15,415,83.57
baseline,0.15,415,82.57
coteaching,0.2,415,82.56
baseline,0.2,415,81.19
coteaching,0.25,415,81.11
baseline,0.25,415,79.65
coteaching,0.3,415,80.16
baseline,0.3,415,79.44
coteaching,0.35,415,78.21
baseline,0.35,415,78.13
coteaching,0.4,415,77.01
baseline,0.4,415,76.57
coteaching,0.45,415,75.27
baseline,0.45,415,75.57
coteaching,0.5,415,73.53
baseline,0.5,415,73.46
coteaching,0.55,415,72.09
baseline,0.55,415,71.01
coteaching,0.6,415,69.25
baseline,0.6,415,68.68
coteaching,0.65,415,65.44
baseline,0.65,415,65.39
coteaching,0.7,415,59.43
baseline,0.7,415,62.26
